Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,September,A Crimes against the person,A10 Homicide and related offences,A11 Murder,49,0.7
2022,September,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,26,0.4
2022,September,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,29,0.4
2022,September,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,83,1.3
2022,September,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"6,953",105.5
2022,September,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"7,903",119.9
2022,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,998",45.5
2022,September,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"16,277",246.9
2022,September,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"12,360",187.5
2022,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,506",68.3
2022,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"5,895",89.4
2022,September,A Crimes against the person,A30 Sexual offences,A33 Incest,434,6.6
2022,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,109",32
2022,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,855,13
2022,September,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,201,3
2022,September,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,499,7.6
2022,September,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,4,0.1
2022,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,145",32.5
2022,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,290,4.4
2022,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,359,5.4
2022,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,99,1.5
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,597",24.2
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,062",16.1
