Year,Year ending,Offence Division,Offence Subdivision,Offence Group,Victim Reports,"Rate per 100,000 population"
2022,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,187,2.8
2022,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"14,306",217.0
2022,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,930",44.4
2022,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"27,218",412.8
2022,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,659",55.5
2022,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"4,221",64.0
2022,September,A Crimes against the person,A30 Sexual offences,A33 Incest,219,3.3
2022,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,414,6.3
2022,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,707,10.7
2022,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,490,7.4
2022,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,008",30.5
2022,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,270,4.1
2022,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,269,4.1
2022,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,65,1.0
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,251",34.1
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"5,197",78.8
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,309",50.2
2022,September,B Property and deception offences,B10 Arson,B10 Arson,"1,030",15.6
2022,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"21,200",321.6
2022,September,B Property and deception offences,B20 Property damage,B22 Graffiti,947,14.4
2022,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,285,4.3
2022,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"4,166",63.2
2022,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"16,018",243.0
